"No.","Time","Source","Destination","Protocol","Length","Info"
"144","12.180730700","127.0.0.1","127.0.0.1","TCP","44","63342  >  63756 [ACK] Seq=23135 Ack=6654 Win=191 Len=0"
"145","12.184164600","127.0.0.1","127.0.0.1","HTTP","1958","HTTP/1.1 200 OK  (image/vnd.microsoft.icon)"
"146","12.184221800","127.0.0.1","127.0.0.1","TCP","44","63756  >  63342 [ACK] Seq=6654 Ack=25049 Win=144 Len=0"
"147","12.478269400","127.0.0.1","127.0.0.1","TCP","56","50647  >  63342 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"148","12.478412700","127.0.0.1","127.0.0.1","TCP","56","63342  >  50647 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"149","12.478458900","127.0.0.1","127.0.0.1","TCP","44","50647  >  63342 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"150","12.479164300","127.0.0.1","127.0.0.1","HTTP","711","GET /jb-server-page?reloadMode=RELOAD_ON_SAVE&referrer=%2FWireshark%2520Web%2520Traffic%2520Analysis%2Findex.html HTTP/1.1 "
"151","12.479197800","127.0.0.1","127.0.0.1","TCP","44","63342  >  50647 [ACK] Seq=1 Ack=668 Win=64768 Len=0"
"152","12.481548000","127.0.0.1","127.0.0.1","HTTP","280","HTTP/1.1 101 Switching Protocols "
"153","12.481589700","127.0.0.1","127.0.0.1","TCP","44","50647  >  63342 [ACK] Seq=668 Ack=237 Win=65280 Len=0"
"154","16.043523700","127.0.0.1","127.0.0.1","TLSv1.2","152","Application Data"
"155","16.043581800","127.0.0.1","127.0.0.1","TCP","44","63744  >  63748 [ACK] Seq=533 Ack=541 Win=268 Len=0"
"156","16.050860400","127.0.0.1","127.0.0.1","TLSv1.2","70","Application Data"
"157","16.050913200","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=541 Ack=559 Win=243 Len=0"
"158","16.050943900","127.0.0.1","127.0.0.1","TLSv1.2","151","Application Data"
"159","16.050957700","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=541 Ack=666 Win=242 Len=0"
"160","20.045906300","127.0.0.1","127.0.0.1","TLSv1.2","152","Application Data"
"161","20.045966900","127.0.0.1","127.0.0.1","TCP","44","63744  >  63748 [ACK] Seq=666 Ack=649 Win=268 Len=0"
"162","20.051665500","127.0.0.1","127.0.0.1","TLSv1.2","70","Application Data"
"163","20.051716900","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=649 Ack=692 Win=242 Len=0"
"164","20.051754100","127.0.0.1","127.0.0.1","TLSv1.2","151","Application Data"
"165","20.051767900","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=649 Ack=799 Win=242 Len=0"
"166","24.052975700","127.0.0.1","127.0.0.1","TLSv1.2","152","Application Data"
"167","24.053041400","127.0.0.1","127.0.0.1","TCP","44","63744  >  63748 [ACK] Seq=799 Ack=757 Win=268 Len=0"
"168","24.059411100","127.0.0.1","127.0.0.1","TLSv1.2","70","Application Data"
"169","24.059476300","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=757 Ack=825 Win=242 Len=0"
"170","24.059517100","127.0.0.1","127.0.0.1","TLSv1.2","151","Application Data"
"171","24.059535000","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=757 Ack=932 Win=241 Len=0"
"172","27.948315400","127.0.0.1","127.0.0.1","TLSv1.2","184","Application Data"
"173","27.948379800","127.0.0.1","127.0.0.1","TCP","44","63744  >  63748 [ACK] Seq=932 Ack=897 Win=267 Len=0"
"174","27.953677700","127.0.0.1","127.0.0.1","TLSv1.2","70","Application Data"
"175","27.953723600","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=897 Ack=958 Win=241 Len=0"
"176","27.953761900","127.0.0.1","127.0.0.1","TLSv1.2","183","Application Data"
"177","27.953779500","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=897 Ack=1097 Win=241 Len=0"
"178","31.959399900","127.0.0.1","127.0.0.1","TLSv1.2","152","Application Data"
